Id,Altitude,Slope_Orientation,Slope,Horizontal_Distance_To_Water,Vertical_Distance_To_Water,Horizontal_Distance_To_Roadways,Shadow_Index_9h,Shadow_Index_12h,Shadow_Index_15h,Horizontal_Distance_To_Fire_Points,Canopy_Density,Rainfall_Summer,Rainfall_Winter,Wind_Exposure_Level,Soil_Type,Wilderness_Area,Vegetation_Type
12626,2252,115,26,218,112,1350,254,205,61,750,44.42,212.18,881.4,10.67,Type_3,Area_4,Type_4
3428,2304,117,41,277,193,918,251,169,3,371,67.48,281.3,449.3,38.11,Type_3,Area_4,Type_4
12492,2112,136,31,60,12,825,250,210,63,162,42.43,401.32,607.04,42.91,Type_3,Area_4,Type_4
12599,2223,75,27,201,93,1249,241,178,50,642,63.13,180.85,975.3,50.41,Type_10,Area_4,Type_4
3843,2160,105,27,67,35,1168,253,195,51,531,58.54,344.9,719.32,31.01,Type_10,Area_4,Type_4
12786,2183,121,31,0,0,1316,254,198,47,977,77.94,207.63,301.09,39.83,Type_3,Area_4,Type_4
4553,2180,133,17,0,0,1146,245,230,108,1146,39.23,349.27,854.47,46.64,Type_3,Area_4,Type_4
12568,2110,99,3,0,0,997,224,235,146,335,33.57,237.33,663.26,60.28,Type_4,Area_4,Type_4
3292,2329,157,23,295,35,977,238,236,114,540,82.64,440.15,522.85,14.46,Type_3,Area_4,Type_4
3830,2126,333,4,30,-6,1307,210,234,163,1332,43.27,300.16,898.17,18.28,Type_17,Area_4,Type_4
5022,2345,109,30,283,124,558,254,192,43,1744,56.12,202.15,859.79,54.01,Type_3,Area_4,Type_4
13437,2316,152,10,0,0,564,233,240,138,671,50.1,317.41,1199.97,58.1,Type_17,Area_4,Type_4
5132,2239,36,17,0,0,1507,217,200,113,947,60.88,264.48,910.13,17.84,Type_17,Area_4,Type_4
3441,2217,68,18,30,-11,930,236,200,89,967,50.51,384.06,741.26,22.8,Type_5,Area_4,Type_4
4183,2289,157,16,297,109,1165,236,241,130,1173,70.93,449.14,432.27,41.51,Type_3,Area_4,Type_4
4481,2390,86,16,408,193,824,241,212,97,1549,39.69,211.34,671.93,42.69,Type_6,Area_4,Type_4
5665,2312,126,14,108,37,270,243,229,112,1549,67.1,356.67,1047.64,51.92,Type_2,Area_4,Type_4
12178,2038,110,11,0,0,685,239,228,118,690,66.33,359.99,842.29,32.53,Type_1,Area_4,Type_4
4880,2346,80,21,330,149,633,242,198,76,1687,79.44,201.68,146.74,7.9,Type_3,Area_4,Type_4
4928,2240,61,2,0,0,1602,221,234,149,808,43.62,208.71,582.86,33.78,Type_17,Area_4,Type_4
4735,2251,131,29,108,57,870,251,211,66,1423,55.83,232.0,822.4,14.7,Type_3,Area_4,Type_4
2598,2055,189,9,0,0,918,221,247,160,351,59.8,248.0,870.1,40.33,Type_17,Area_4,Type_4
12660,2171,19,28,42,14,1142,187,168,105,866,77.63,177.74,503.67,61.81,Type_17,Area_4,Type_4
12586,2124,309,20,30,6,1172,162,223,199,1221,45.81,295.67,214.89,37.85,Type_17,Area_4,Type_4
6175,2460,63,12,0,0,384,230,216,117,1271,60.72,392.06,494.7,5.74,Type_6,Area_4,Type_4
4550,2214,139,21,85,30,1061,246,228,99,1231,77.92,405.64,130.8,23.65,Type_3,Area_4,Type_4
12389,2120,79,2,0,0,792,222,234,148,576,87.51,311.3,1186.8,26.47,Type_14,Area_4,Type_4
12905,2165,78,11,0,0,684,234,220,116,1425,81.83,421.35,419.63,17.03,Type_1,Area_4,Type_4
3500,2104,328,13,0,0,1358,187,224,176,872,74.25,215.99,1076.02,39.77,Type_17,Area_4,Type_4
5336,2337,120,35,162,96,319,253,188,30,1842,86.68,336.85,601.75,36.81,Type_3,Area_4,Type_4
3135,2140,105,36,134,72,552,253,173,0,120,42.02,399.32,376.6,50.73,Type_3,Area_4,Type_4
12449,2182,61,31,0,0,840,228,161,44,875,71.7,276.03,240.57,33.24,Type_5,Area_4,Type_4
3306,2072,68,8,0,0,641,228,225,130,90,51.03,268.23,713.82,16.55,Type_3,Area_4,Type_4
4594,2397,196,7,457,200,726,219,246,162,1597,48.73,151.02,720.25,23.21,Type_6,Area_4,Type_4
3672,2164,105,32,95,53,979,254,182,29,339,32.98,383.17,497.57,37.81,Type_3,Area_4,Type_4
5208,2245,42,12,0,0,1572,222,213,125,990,56.07,377.74,379.37,59.57,Type_17,Area_4,Type_4
3908,2110,283,9,0,0,1120,194,241,186,1358,48.51,335.5,1003.36,32.23,Type_17,Area_4,Type_4
13166,2418,74,14,0,0,741,236,212,104,1132,33.08,437.28,939.1,41.15,Type_5,Area_4,Type_4
12601,2173,101,22,95,48,1183,250,204,70,552,46.64,308.43,155.69,55.04,Type_10,Area_4,Type_4
12566,2214,159,28,170,89,1123,236,231,105,516,76.75,163.01,622.57,30.14,Type_3,Area_4,Type_4
4854,2222,78,22,0,0,808,242,193,70,1077,50.56,410.7,620.88,56.91,Type_4,Area_4,Type_4
6095,2392,35,13,0,0,497,218,211,126,1350,42.3,333.16,371.12,57.72,Type_6,Area_4,Type_4
2182,2020,358,25,0,0,531,174,186,143,511,42.76,314.21,389.84,31.12,Type_10,Area_4,Type_4
5852,2354,107,19,0,0,819,248,215,88,1091,87.58,357.63,1042.12,59.04,Type_5,Area_4,Type_4
12455,2143,67,2,30,-14,924,221,235,151,769,48.03,359.32,229.4,6.06,Type_14,Area_4,Type_4
5994,2367,356,7,0,0,711,209,227,157,1537,59.94,172.1,215.09,27.99,Type_11,Area_4,Type_4
3335,2331,133,30,306,37,1041,251,210,63,601,83.42,411.34,890.55,62.7,Type_3,Area_4,Type_4
4704,2117,3,9,0,0,1207,208,223,152,514,65.72,303.12,856.15,10.18,Type_3,Area_4,Type_4
12994,2196,76,15,30,8,1702,237,211,101,153,36.62,434.28,1083.45,31.73,Type_3,Area_4,Type_4
4489,2261,98,28,170,74,1022,252,189,46,1279,76.81,356.82,869.77,59.6,Type_3,Area_4,Type_4
5408,2241,114,20,0,0,402,249,216,86,1833,56.61,445.65,774.24,61.15,Type_3,Area_4,Type_4
4022,2032,61,12,0,0,295,230,214,115,547,44.43,364.96,110.62,36.96,Type_1,Area_4,Type_4
4691,2337,127,26,268,140,782,252,212,71,1542,52.15,208.81,898.42,28.23,Type_3,Area_4,Type_4
3328,2329,191,12,384,35,1282,219,249,162,900,61.08,282.61,145.97,10.74,Type_2,Area_4,Type_4
13289,2309,100,5,0,0,924,229,233,138,977,47.49,220.37,1094.14,31.06,Type_10,Area_4,Type_4
3154,2352,0,5,201,58,942,213,231,156,577,55.66,384.67,278.1,35.88,Type_6,Area_4,Type_4
4826,2378,159,3,450,157,582,223,240,152,1744,39.59,310.99,1109.5,47.1,Type_6,Area_4,Type_4
12699,2300,126,23,255,112,1284,251,217,81,1040,86.15,352.79,763.99,40.75,Type_6,Area_4,Type_4
12503,2294,124,31,408,168,1167,253,201,51,655,41.21,172.07,579.85,13.92,Type_3,Area_4,Type_4
6101,2296,187,17,0,0,1170,220,250,158,997,51.15,240.65,494.34,43.88,Type_17,Area_4,Type_4
3665,2240,171,22,300,115,1149,229,243,134,591,63.07,415.88,1012.94,10.41,Type_3,Area_4,Type_4
12894,2187,103,13,0,0,1019,242,222,108,1273,88.71,427.22,282.48,5.67,Type_3,Area_4,Type_4
6336,2340,32,7,0,0,474,219,224,142,1448,74.69,159.69,607.06,55.17,Type_1,Area_4,Type_4
3574,2090,90,7,30,0,845,231,229,130,182,89.37,304.66,1063.54,26.8,Type_3,Area_4,Type_4
4589,2217,156,21,0,0,1463,238,237,118,966,70.3,172.87,1079.61,28.79,Type_17,Area_4,Type_4
3155,2348,192,9,234,54,895,220,248,162,518,56.55,355.51,439.75,40.92,Type_6,Area_4,Type_4
3213,2095,105,30,60,27,589,254,187,37,85,40.76,259.15,364.68,41.05,Type_3,Area_4,Type_4
3371,2337,206,11,342,226,934,213,250,171,424,43.12,414.68,808.66,40.73,Type_6,Area_4,Type_4
12731,2226,126,25,95,43,1358,252,214,74,934,43.07,342.35,236.91,36.17,Type_3,Area_4,Type_4
2866,1989,302,18,0,0,150,167,229,201,537,64.81,293.81,681.31,24.68,Type_4,Area_4,Type_4
4020,2284,4,3,0,0,1071,215,233,155,335,43.8,414.96,878.14,41.39,Type_16,Area_4,Type_4
12420,2376,213,11,301,82,1110,210,251,175,691,52.0,288.85,244.11,51.69,Type_6,Area_4,Type_4
2181,2030,18,18,42,12,467,203,199,128,524,48.32,280.0,817.31,48.56,Type_10,Area_4,Type_4
3847,2118,62,6,0,0,1115,225,228,138,458,88.27,156.6,930.45,26.16,Type_3,Area_4,Type_4
3610,2294,241,23,503,0,1318,169,251,214,837,88.2,301.07,1163.97,20.72,Type_6,Area_4,Type_4
5776,2337,13,12,0,0,959,208,216,143,1440,52.52,223.24,403.37,19.2,Type_10,Area_4,Type_4
4721,2247,106,16,0,0,849,246,218,96,484,50.7,447.22,289.78,52.89,Type_10,Area_4,Type_4
5406,2269,110,28,60,28,350,254,196,49,1812,83.73,187.47,391.39,50.64,Type_3,Area_4,Type_4
4232,2355,82,5,446,162,999,227,231,138,1396,63.39,177.37,772.5,9.87,Type_6,Area_4,Type_4
12993,2199,333,4,0,0,792,210,234,163,1510,34.5,354.33,171.45,49.38,Type_4,Area_4,Type_4
4190,2183,150,31,42,25,1443,241,221,83,850,72.04,328.64,114.69,47.82,Type_3,Area_4,Type_4
12275,2070,319,10,0,0,960,195,231,176,228,49.78,242.34,1195.04,5.09,Type_17,Area_4,Type_4
12210,2055,162,10,0,0,872,231,243,143,295,43.96,443.18,1007.75,13.72,Type_1,Area_4,Type_4
3944,2126,72,10,0,0,1140,232,220,119,1448,53.59,284.38,455.54,53.38,Type_17,Area_4,Type_4
3026,2085,114,24,0,0,1215,252,209,70,503,52.44,262.09,497.46,21.25,Type_17,Area_4,Type_4
5021,2360,99,26,300,135,541,252,193,53,1767,70.02,391.41,1148.1,41.4,Type_3,Area_4,Type_4
3472,2320,229,20,324,207,999,187,254,199,466,76.75,220.95,907.57,32.72,Type_3,Area_4,Type_4
5295,2299,45,10,0,0,424,223,219,130,816,76.47,337.21,347.71,58.95,Type_4,Area_4,Type_4
12769,2157,103,6,0,0,1403,231,232,134,895,47.94,177.79,888.93,56.8,Type_3,Area_4,Type_4
5955,2520,54,10,192,37,150,226,218,125,1781,32.69,223.01,1030.68,30.0,Type_5,Area_4,Type_4
12474,2302,230,16,430,8,1284,195,253,192,849,49.82,340.87,286.01,30.53,Type_2,Area_4,Type_4
12441,2319,132,31,335,25,1062,251,208,60,603,79.97,160.91,309.69,18.62,Type_3,Area_4,Type_4
12690,2172,283,22,30,11,1167,153,234,219,797,55.63,155.9,610.62,8.44,Type_17,Area_4,Type_4
13057,2174,92,14,0,0,1442,241,218,105,551,46.47,402.49,1002.01,40.72,Type_14,Area_4,Type_4
3551,2324,92,24,541,245,1416,248,196,63,977,78.23,254.52,249.97,29.51,Type_2,Area_4,Type_4
4630,2298,117,11,0,0,108,238,230,121,297,60.63,340.72,798.74,49.47,Type_11,Area_4,Type_4
3961,2205,128,26,150,69,1323,252,214,73,700,64.44,301.92,419.16,12.96,Type_3,Area_4,Type_4
1998,2003,355,6,0,0,127,211,230,157,283,34.14,237.21,320.43,62.75,Type_17,Area_4,Type_4
3423,2323,121,35,361,29,1104,253,188,30,636,75.74,299.55,922.66,6.07,Type_3,Area_4,Type_4
3989,2151,328,22,0,0,1317,160,208,184,1218,50.25,444.47,330.89,26.74,Type_17,Area_4,Type_4
4306,2156,9,9,0,0,1425,210,222,149,876,34.81,287.11,1188.42,11.6,Type_3,Area_4,Type_4
4757,2191,64,33,0,0,433,229,155,32,912,30.59,191.68,604.57,38.64,Type_1,Area_4,Type_4
5934,2331,70,11,0,0,395,232,218,117,600,89.28,289.93,892.8,24.89,Type_2,Area_4,Type_4
5968,2364,0,2,0,0,738,216,235,156,1567,35.25,411.01,362.5,9.68,Type_11,Area_4,Type_4
4002,2285,142,21,228,122,1406,245,229,101,907,78.33,159.82,526.8,42.54,Type_3,Area_4,Type_4
4145,2306,183,21,277,123,1224,220,249,151,1107,85.1,424.52,457.66,25.46,Type_6,Area_4,Type_4
3169,2117,101,33,95,49,569,253,177,26,95,75.87,398.59,1129.46,14.69,Type_3,Area_4,Type_4
2690,2060,254,12,30,-6,895,193,248,193,210,54.26,230.17,1157.47,39.96,Type_17,Area_4,Type_4
5335,2354,124,33,190,113,297,253,196,42,1834,87.99,337.51,233.88,35.3,Type_3,Area_4,Type_4
3210,2199,119,33,190,121,644,254,191,35,108,66.63,353.66,1187.02,42.96,Type_3,Area_4,Type_4
5183,2251,109,18,108,30,576,248,217,90,1719,38.02,346.46,806.75,63.69,Type_3,Area_4,Type_4
12577,2148,150,33,60,28,1073,241,217,77,426,32.09,429.99,1096.34,14.91,Type_3,Area_4,Type_4
5363,2257,342,2,0,0,1566,214,235,159,1074,62.63,407.38,836.36,63.06,Type_17,Area_4,Type_4
12966,2322,100,30,270,125,642,252,184,36,1660,44.23,385.58,662.3,24.92,Type_3,Area_4,Type_4
4237,2294,102,23,297,113,1123,251,204,69,1215,33.41,371.09,816.95,23.03,Type_3,Area_4,Type_4
3649,2106,47,8,0,0,1260,223,223,135,1015,65.81,360.2,456.08,31.8,Type_17,Area_4,Type_4
3377,2167,129,26,153,76,765,252,214,73,134,75.65,446.87,681.34,53.19,Type_3,Area_4,Type_4
5174,2252,34,31,0,0,1486,199,157,76,977,32.07,423.46,757.44,21.41,Type_17,Area_4,Type_4
4733,2290,125,29,175,93,811,253,206,59,1490,73.44,169.38,552.33,54.99,Type_3,Area_4,Type_4
4199,2325,302,8,95,23,1184,199,237,177,162,56.58,444.14,618.34,8.04,Type_6,Area_4,Type_4
4876,2379,54,2,426,154,558,220,234,150,1774,68.57,413.11,234.49,56.38,Type_6,Area_4,Type_4
3985,2152,45,14,0,0,1167,223,210,118,924,79.04,287.88,972.49,51.69,Type_17,Area_4,Type_4
3356,2143,135,2,0,0,937,222,238,151,721,34.62,322.86,718.93,60.15,Type_14,Area_4,Type_4
5886,2319,98,12,30,6,330,240,223,111,663,59.15,315.46,1128.87,24.96,Type_2,Area_4,Type_4
4906,2237,113,17,30,6,854,247,221,96,1121,39.7,265.63,315.71,22.64,Type_4,Area_4,Type_4
5620,2444,107,19,30,7,598,248,214,87,1282,41.55,213.94,934.73,63.69,Type_5,Area_4,Type_4
2110,2008,36,2,0,0,361,219,234,152,418,89.01,177.32,454.71,23.95,Type_17,Area_4,Type_4
4480,2396,41,9,433,199,808,221,220,133,1544,64.54,358.02,685.01,30.1,Type_6,Area_4,Type_4
5185,2214,109,15,30,7,674,245,222,102,1640,75.09,332.87,1099.65,42.34,Type_3,Area_4,Type_4
13129,2251,359,12,0,0,1622,202,218,153,984,72.2,310.66,1023.48,32.89,Type_17,Area_4,Type_4
12776,2240,186,2,0,0,658,219,240,157,541,55.16,181.29,1152.62,37.09,Type_10,Area_4,Type_4
5140,2277,112,24,162,56,552,253,206,66,1739,85.95,302.35,516.16,57.09,Type_3,Area_4,Type_4
3197,2078,326,9,0,0,1342,198,230,172,666,86.47,166.7,506.04,22.4,Type_17,Area_4,Type_4
12464,2233,121,36,212,129,865,253,185,25,285,76.67,429.97,691.98,21.5,Type_3,Area_4,Type_4
4144,2301,141,19,339,121,1172,244,232,109,1183,79.89,193.64,410.22,51.85,Type_3,Area_4,Type_4
12596,2132,304,28,60,16,1142,131,212,215,1248,31.89,191.63,863.7,6.35,Type_17,Area_4,Type_4
3832,2126,128,20,30,7,1198,248,224,95,1340,78.5,188.9,644.48,41.14,Type_1,Area_4,Type_4
5728,2261,3,15,0,0,1100,198,209,147,800,35.86,216.18,1135.12,18.25,Type_14,Area_4,Type_4
3075,2060,62,19,30,7,454,232,197,90,234,65.86,322.41,302.76,41.61,Type_3,Area_4,Type_4
5896,2318,20,19,0,0,895,204,197,125,1006,44.75,240.01,698.99,8.49,Type_10,Area_4,Type_4
5478,2302,110,26,150,61,242,253,201,58,1727,71.6,298.45,394.82,43.79,Type_3,Area_4,Type_4
4035,2157,177,18,0,0,1282,226,247,147,1106,39.37,437.56,482.97,47.02,Type_17,Area_4,Type_4
5922,2361,330,9,0,0,792,199,229,170,1552,87.95,323.54,1050.78,50.55,Type_5,Area_4,Type_4
3429,2278,115,43,255,167,900,249,159,0,342,81.87,406.64,815.86,9.51,Type_3,Area_4,Type_4
3848,2116,353,13,0,0,1103,196,216,157,443,63.73,213.57,456.89,5.23,Type_4,Area_4,Type_4
12465,2171,121,26,134,71,805,253,208,64,175,47.76,244.75,812.19,59.64,Type_3,Area_4,Type_4
4298,2268,165,16,234,88,1134,232,243,137,1182,39.09,421.23,774.38,29.8,Type_3,Area_4,Type_4
3099,2060,318,11,30,6,481,190,230,179,234,30.5,179.79,631.31,18.14,Type_3,Area_4,Type_4
5179,2301,111,31,170,76,488,254,190,38,1803,62.3,406.38,782.12,19.08,Type_3,Area_4,Type_4
3475,2220,125,37,192,116,890,252,188,29,295,80.29,371.38,641.51,44.22,Type_3,Area_4,Type_4
2744,2078,103,30,42,16,891,253,187,39,162,38.45,195.62,441.86,50.73,Type_1,Area_4,Type_4
3981,2187,205,4,0,0,882,217,243,162,395,79.94,427.19,846.61,34.15,Type_14,Area_4,Type_4
5067,2243,104,27,150,36,658,253,196,53,1634,58.49,208.12,1188.05,38.81,Type_3,Area_4,Type_4
3679,2034,104,16,0,0,450,246,217,95,551,78.09,412.23,1011.76,42.66,Type_14,Area_4,Type_4
3482,2080,62,8,0,0,765,227,223,130,134,64.36,314.04,860.05,49.9,Type_4,Area_4,Type_4
6050,2409,64,20,0,0,661,234,196,86,1200,86.17,325.85,991.72,32.47,Type_10,Area_4,Type_4
12050,2041,356,25,30,17,612,170,185,146,474,39.6,311.89,815.15,37.26,Type_10,Area_4,Type_4
3735,2216,185,27,216,91,1158,214,247,149,566,44.8,265.46,1034.45,36.64,Type_3,Area_4,Type_4
12614,2122,0,3,0,0,1155,215,234,156,499,46.72,198.89,911.11,12.96,Type_4,Area_4,Type_4
5733,2325,30,7,0,0,1015,218,226,143,1406,69.35,162.25,496.66,6.35,Type_10,Area_4,Type_4
6117,2295,185,8,30,0,1230,222,246,158,949,69.53,356.93,594.27,32.12,Type_17,Area_4,Type_4
3507,2298,240,18,457,4,1302,183,252,203,853,88.4,183.18,905.22,50.86,Type_2,Area_4,Type_4
4488,2274,106,23,192,87,1003,252,205,69,1302,51.29,264.58,632.52,44.84,Type_3,Area_4,Type_4
13019,2370,128,9,0,0,1127,235,235,131,741,54.86,181.66,482.64,51.89,Type_6,Area_4,Type_4
3302,2201,131,30,218,114,726,252,208,61,150,89.83,175.55,303.92,35.34,Type_3,Area_4,Type_4
4474,2229,344,14,0,0,849,190,217,165,342,51.33,171.27,509.1,53.2,Type_14,Area_4,Type_4
3878,2187,107,22,108,61,1224,251,208,73,594,82.76,227.81,419.27,57.08,Type_3,Area_4,Type_4
4189,2194,145,31,60,31,1421,245,217,75,870,71.61,418.77,908.3,35.96,Type_3,Area_4,Type_4
13117,2256,178,9,0,0,1590,224,246,154,1050,49.85,442.47,268.08,39.76,Type_17,Area_4,Type_4
3733,2228,129,23,295,102,1214,250,220,86,644,56.8,191.69,228.55,18.16,Type_3,Area_4,Type_4
12647,2137,117,25,30,11,1248,253,207,66,600,39.94,258.22,880.68,55.65,Type_3,Area_4,Type_4
2453,2038,137,19,30,1,591,246,229,104,636,63.46,324.38,1196.23,9.42,Type_1,Area_4,Type_4
4050,2219,128,23,124,61,1406,250,219,83,785,42.09,387.63,818.76,20.13,Type_3,Area_4,Type_4
3963,2181,124,29,108,51,1291,253,204,56,658,31.72,214.63,1028.21,30.25,Type_3,Area_4,Type_4
4442,2275,99,25,212,88,1026,251,196,58,1284,79.84,185.6,182.74,9.99,Type_3,Area_4,Type_4
3236,2128,2,11,0,0,858,205,219,151,603,44.05,338.33,966.65,50.06,Type_14,Area_4,Type_4
5402,2348,131,29,210,107,234,252,211,66,1768,88.0,381.04,957.04,51.61,Type_3,Area_4,Type_4
3339,2333,229,26,366,39,933,171,253,208,451,65.83,290.63,271.37,56.64,Type_6,Area_4,Type_4
12468,2226,84,21,0,0,960,244,200,76,997,38.2,372.27,1051.7,11.57,Type_6,Area_4,Type_4
4836,2190,343,7,0,0,937,205,229,162,1360,35.25,448.95,178.75,6.32,Type_4,Area_4,Type_4
12600,2205,75,26,175,79,1231,241,183,57,618,63.46,184.83,656.71,33.13,Type_10,Area_4,Type_4
3621,2153,123,32,85,42,939,254,198,45,297,70.37,301.02,460.17,54.77,Type_3,Area_4,Type_4
4530,2231,114,11,0,0,828,240,229,118,395,40.85,193.85,907.38,31.29,Type_14,Area_4,Type_4
4801,2129,47,8,0,0,1340,223,223,135,390,37.43,251.69,1001.05,44.63,Type_14,Area_4,Type_4
3370,2325,243,23,366,212,955,167,251,216,454,71.68,286.12,622.41,56.19,Type_3,Area_4,Type_4
3869,2118,299,9,30,7,1138,196,237,181,1317,69.49,278.98,297.29,51.36,Type_17,Area_4,Type_4
12718,2312,308,15,30,10,1165,177,229,192,212,74.63,252.42,598.76,28.07,Type_1,Area_4,Type_4
12685,2185,101,28,85,45,1358,253,190,46,722,61.28,268.4,123.4,19.26,Type_3,Area_4,Type_4
13433,2336,72,1,0,0,457,219,237,154,1449,47.46,203.14,319.8,53.94,Type_1,Area_4,Type_4
12534,2295,147,32,430,165,1252,243,218,78,731,48.8,362.67,256.05,8.23,Type_3,Area_4,Type_4
3833,2111,111,6,0,0,1177,230,234,137,1307,79.42,418.8,464.86,43.9,Type_17,Area_4,Type_4
3901,2139,341,25,0,0,1308,161,195,168,1383,55.88,181.28,274.99,58.31,Type_17,Area_4,Type_4
5265,2229,130,15,30,8,592,243,230,112,1725,88.31,336.81,246.57,22.36,Type_3,Area_4,Type_4
12702,2159,114,31,42,19,1370,254,193,42,726,45.53,334.83,524.26,39.01,Type_3,Area_4,Type_4
4829,2295,127,27,212,98,726,252,212,69,1575,48.62,294.62,767.6,26.14,Type_3,Area_4,Type_4
3165,2240,133,32,256,162,649,251,206,58,175,33.37,407.01,509.88,13.75,Type_3,Area_4,Type_4
2694,2047,25,11,0,0,918,215,216,137,540,57.85,230.76,1005.28,37.36,Type_17,Area_4,Type_4
13442,2314,25,11,30,0,497,215,216,137,633,74.86,366.48,1185.33,44.82,Type_17,Area_4,Type_4
12557,2114,114,11,30,3,1230,240,229,118,1168,70.98,200.24,1168.24,32.67,Type_17,Area_4,Type_4
5284,2194,93,18,0,0,1471,245,211,89,534,83.47,362.78,209.5,47.08,Type_2,Area_4,Type_4
6296,2333,70,7,0,0,417,228,226,132,1396,82.88,258.32,939.63,9.8,Type_14,Area_4,Type_4
4130,2221,354,17,0,0,1140,189,207,155,404,30.07,333.8,1064.02,48.55,Type_17,Area_4,Type_4
6234,2326,57,16,0,0,300,229,203,102,1249,40.47,213.56,782.56,16.86,Type_14,Area_4,Type_4
3580,2285,57,18,67,22,1124,229,200,97,886,59.55,372.99,689.53,20.71,Type_6,Area_4,Type_4
5626,2244,55,6,0,0,1224,224,227,139,693,80.62,444.78,339.04,29.24,Type_2,Area_4,Type_4
4079,2215,193,12,0,0,1110,219,249,163,450,76.11,312.56,437.75,55.02,Type_1,Area_4,Type_4
6291,2359,57,8,30,3,551,226,223,132,828,38.57,420.26,665.26,29.3,Type_2,Area_4,Type_4
4412,2327,317,8,0,0,1290,198,233,174,182,30.25,214.29,889.88,6.57,Type_6,Area_4,Type_4
4790,2189,113,5,0,0,957,230,234,138,1338,49.81,385.43,1181.68,5.85,Type_4,Area_4,Type_4
4932,2376,59,13,384,151,553,230,211,112,1776,50.53,379.74,325.96,53.08,Type_6,Area_4,Type_4
12662,2169,146,27,30,12,1273,245,225,91,1130,66.2,277.52,497.15,47.44,Type_1,Area_4,Type_4
12658,2190,141,19,0,0,983,244,232,109,430,30.47,396.21,878.79,49.24,Type_14,Area_4,Type_4
4837,2193,338,12,30,4,960,194,223,168,1341,52.64,381.85,162.56,7.03,Type_4,Area_4,Type_4
